rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0002.jpg,0.8,0.7741,0.7196,0.7143,1.0,7,5,False,True
2,frame_0005.jpg,2.0,0.7464,0.6642,0.7143,1.0,5,5,False,False
3,frame_0132.jpg,52.8,0.7441,0.7454,0.5714,1.0,5,4,False,True
4,frame_0021.jpg,8.4,0.7421,0.7414,0.5714,1.0,6,4,False,True
5,frame_0067.jpg,26.8,0.7357,0.6429,0.7143,1.0,8,5,False,True
6,frame_0009.jpg,3.6,0.7125,0.8536,0.2857,1.0,2,2,False,True
7,frame_0018.jpg,7.2,0.7101,0.6774,0.5714,1.0,6,4,False,False
8,frame_0292.jpg,116.8,0.7039,0.745,0.5714,0.8,7,4,False,True
9,frame_0388.jpg,155.2,0.6967,0.8152,0.8571,0.16,8,6,False,True
10,frame_0030.jpg,12.0,0.6785,0.6142,0.5714,1.0,7,4,False,True
11,frame_0071.jpg,28.4,0.6779,0.6986,0.4286,1.0,6,3,False,False
12,frame_0076.jpg,30.4,0.6759,0.5553,0.7143,0.92,8,5,False,True
13,frame_0069.jpg,27.6,0.6741,0.691,0.4286,1.0,6,3,False,False
14,frame_0367.jpg,146.8,0.6727,0.7991,0.8571,0.08,8,6,False,True
15,frame_0328.jpg,131.2,0.6721,0.798,0.8571,0.08,10,6,False,True
16,frame_0011.jpg,4.4,0.6711,0.7707,0.2857,1.0,3,2,False,False
17,frame_0000.jpg,0.0,0.667,0.6768,0.4286,1.0,8,3,False,False
18,frame_0007.jpg,2.8,0.6667,0.5905,0.5714,1.0,5,4,False,False
19,frame_0124.jpg,49.6,0.6594,0.704,0.5714,0.68,7,4,False,True
20,frame_0378.jpg,151.2,0.6593,0.7723,0.8571,0.08,8,6,False,False
21,frame_0167.jpg,66.8,0.6522,0.6359,0.7143,0.6,6,5,False,False
22,frame_0116.jpg,46.4,0.6521,0.8173,0.5714,0.36,8,4,False,False
23,frame_0379.jpg,151.6,0.652,0.6879,1.0,0.04,9,7,False,False
24,frame_0288.jpg,115.2,0.6393,0.6478,0.5714,0.72,7,4,False,False
25,frame_0004.jpg,1.6,0.6367,0.5305,0.5714,1.0,6,4,False,False
26,frame_0031.jpg,12.4,0.6353,0.6134,0.4286,1.0,10,3,False,False
27,frame_0033.jpg,13.2,0.6334,0.6954,0.2857,1.0,8,2,False,False
28,frame_0375.jpg,150.0,0.633,0.7574,0.7143,0.2,9,5,False,False
29,frame_0387.jpg,154.8,0.6325,0.8422,0.5714,0.2,11,4,False,False
30,frame_0072.jpg,28.8,0.6234,0.6753,0.2857,1.0,7,2,False,False
31,frame_0291.jpg,116.4,0.6207,0.6483,0.4286,0.84,7,3,False,False
32,frame_0299.jpg,119.6,0.619,0.6872,0.5714,0.52,8,4,False,False
33,frame_0012.jpg,4.8,0.6139,0.6563,0.2857,1.0,3,2,False,False
34,frame_0204.jpg,81.6,0.6124,0.7814,0.2857,0.68,2,2,False,False
35,frame_0173.jpg,69.2,0.6118,0.8224,0.4286,0.36,7,3,False,False
36,frame_0106.jpg,42.4,0.6108,0.7771,0.7143,0.04,6,5,False,False
37,frame_0127.jpg,50.8,0.6103,0.6435,0.4286,0.8,6,3,False,False
38,frame_0368.jpg,147.2,0.6098,0.7751,0.7143,0.04,9,5,False,False
39,frame_0201.jpg,80.4,0.6075,0.8195,0.2857,0.56,4,2,False,False
40,frame_0285.jpg,114.0,0.6068,0.8021,0.2857,0.6,4,2,False,False
41,frame_0077.jpg,30.8,0.6055,0.6019,0.4286,0.88,6,3,False,False
42,frame_0075.jpg,30.0,0.6036,0.5661,0.4286,0.96,6,3,False,False
43,frame_0296.jpg,118.4,0.6024,0.6916,0.4286,0.64,5,3,False,False
44,frame_0029.jpg,11.6,0.6015,0.6316,0.2857,1.0,5,2,False,False
45,frame_0193.jpg,77.2,0.5991,0.6736,0.7143,0.24,6,5,False,False
46,frame_0298.jpg,119.2,0.5976,0.6283,0.5714,0.56,6,4,False,False
47,frame_0133.jpg,53.2,0.5955,0.4482,0.5714,1.0,5,4,False,False
48,frame_0120.jpg,48.0,0.5931,0.6353,0.5714,0.52,4,4,False,False
49,frame_0070.jpg,28.0,0.5929,0.7,0.1429,1.0,8,1,False,False
50,frame_0374.jpg,149.6,0.5916,0.7604,0.5714,0.2,9,4,False,False
51,frame_0115.jpg,46.0,0.5885,0.6204,0.7143,0.32,7,5,False,False
52,frame_0089.jpg,35.6,0.5869,0.7567,0.4286,0.4,6,3,False,False
53,frame_0006.jpg,2.4,0.5865,0.6016,0.2857,1.0,4,2,False,False
54,frame_0017.jpg,6.8,0.586,0.4292,0.5714,1.0,7,4,False,False
55,frame_0130.jpg,52.0,0.5848,0.6302,0.2857,0.92,4,2,False,False
56,frame_0370.jpg,148.0,0.584,0.7234,0.7143,0.04,9,5,False,False
57,frame_0074.jpg,29.6,0.5801,0.5888,0.2857,1.0,6,2,False,False
58,frame_0295.jpg,118.0,0.5751,0.7067,0.2857,0.68,6,2,False,False
59,frame_0390.jpg,156.0,0.5739,0.773,0.5714,0.08,8,4,False,False
60,frame_0015.jpg,6.0,0.5711,0.6565,0.1429,1.0,4,1,False,False
61,frame_0389.jpg,155.6,0.5689,0.8327,0.4286,0.12,11,3,False,False
62,frame_0177.jpg,70.8,0.5688,0.6291,0.7143,0.2,9,5,False,False
63,frame_0003.jpg,1.2,0.5673,0.4775,0.4286,1.0,7,3,False,False
64,frame_0284.jpg,113.6,0.5661,0.8225,0.1429,0.56,5,1,False,False
65,frame_0131.jpg,52.4,0.5657,0.576,0.2857,0.96,4,2,False,False
66,frame_0330.jpg,132.0,0.565,0.6854,0.7143,0.04,9,5,False,False
67,frame_0008.jpg,3.2,0.5585,0.5455,0.2857,1.0,3,2,False,False
68,frame_0188.jpg,75.2,0.5575,0.6705,0.7143,0.04,9,5,False,False
69,frame_0232.jpg,92.8,0.5554,0.688,0.5714,0.2,8,4,False,False
70,frame_0024.jpg,9.6,0.5549,0.7098,0.0,1.0,1,0,False,False
71,frame_0294.jpg,117.6,0.5549,0.6504,0.2857,0.72,5,2,False,False
72,frame_0327.jpg,130.8,0.5538,0.7488,0.5714,0.04,9,4,False,False
